timestamp,dst,dport,bytes,rtt_ms,status
1788187292.593259,10.0.0.100,80,1909,15.063,ok
1788187293.226274,10.0.0.100,443,3684,17.534,ok
1788187293.333255,10.0.0.100,80,2997,14.226,ok
1788187294.762452,10.0.0.100,80,2662,14.019,ok
1788187295.835563,10.0.0.100,8080,527,14.225,ok
1788187296.347320,10.0.0.100,80,1924,13.634,ok
1788187296.698708,10.0.0.100,443,2018,14.750,ok
1788187296.827451,10.0.0.100,443,3631,13.895,ok
1788187297.543289,10.0.0.100,443,4787,12.332,ok
1788187297.850523,10.0.0.100,22,217,15.770,ok
1788187298.372428,10.0.0.100,8080,1834,14.052,ok
1788187298.508196,10.0.0.100,22,452,14.228,ok
1788187298.666059,10.0.0.100,443,1989,13.664,ok
1788187299.384348,10.0.0.100,80,3313,18.159,ok
1788187299.617078,10.0.0.100,80,2151,13.933,ok
1788187300.815572,10.0.0.100,80,2493,21.136,ok
1788187301.115874,10.0.0.100,22,433,17.910,ok
1788187301.685177,10.0.0.100,443,3636,14.536,ok
1788187302.297014,10.0.0.100,22,256,14.289,ok
1788187302.478859,10.0.0.100,3306,396,13.486,ok
1788187302.823117,10.0.0.100,80,375,13.972,ok
1788187303.695224,10.0.0.100,443,1490,19.540,ok
1788187303.755785,10.0.0.100,22,172,13.751,ok
1788187304.690913,10.0.0.100,8080,783,14.607,ok
1788187305.190244,10.0.0.100,80,2229,19.522,ok
1788187306.555163,10.0.0.100,3306,150,16.320,ok
1788187306.621130,10.0.0.100,8080,597,16.403,ok
1788187307.268240,10.0.0.100,8080,863,14.220,ok
1788187307.902139,10.0.0.100,443,3877,12.082,ok
1788187308.412342,10.0.0.100,3306,799,15.129,ok
1788187308.795517,10.0.0.100,443,3224,12.037,ok
1788187309.264325,10.0.0.100,80,3615,15.357,ok
1788187309.299952,10.0.0.100,8080,1220,22.632,ok
1788187309.561572,10.0.0.100,80,1039,15.841,ok
1788187309.660032,10.0.0.100,8080,460,14.766,ok
1788187310.005039,10.0.0.100,8080,965,15.536,ok
1788187310.085736,10.0.0.100,8080,729,18.708,ok
1788187310.358191,10.0.0.100,8080,687,16.752,ok
