timestamp,dpid,src_ip,distinct_dports,distinct_dst_ips,new_flows_per_s,active_flows,pkts_per_s,bytes_per_s,avg_bytes_per_flow,single_pkt_flow_ratio,packet_in_per_s,redirected
1788270717.143,2,10.0.0.12,4,1,1.20,0,0.00,0.00,0.0,0.000,0.00,0
1788270717.143,2,10.0.0.11,2,1,0.60,0,0.00,0.00,0.0,0.000,0.00,0
1788270717.143,2,10.0.0.13,0,0,0.00,1,54.60,82555.20,412776.0,0.000,0.00,0
1788270717.143,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270719.140,1,10.0.0.12,5,1,1.80,13,124.40,540690.40,207957.8,0.000,4.00,0
1788270719.140,1,10.0.0.11,4,1,1.20,11,115.00,417781.20,189900.5,0.000,4.00,0
1788270719.140,1,10.0.0.13,0,0,0.00,1,56.80,85881.60,429408.0,0.000,4.00,0
1788270719.144,2,10.0.0.12,5,1,1.80,0,0.00,0.00,0.0,0.000,0.00,0
1788270719.144,2,10.0.0.11,4,1,1.20,0,0.00,0.00,0.0,0.000,0.00,0
1788270719.144,2,10.0.0.13,0,0,0.00,1,56.80,85881.60,429408.0,0.000,0.00,0
1788270719.144,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270721.138,1,10.0.0.12,3,1,0.80,12,108.60,498687.60,207786.5,0.000,0.50,0
1788270721.138,1,10.0.0.11,4,1,1.00,10,105.40,376187.60,188093.8,0.000,0.50,0
1788270721.138,1,10.0.0.13,0,0,0.00,1,58.80,88905.60,444528.0,0.000,0.50,0
1788270721.141,2,10.0.0.12,3,1,0.80,0,0.00,0.00,0.0,0.000,0.00,0
1788270721.141,2,10.0.0.11,4,1,1.00,0,0.00,0.00,0.0,0.000,0.00,0
1788270721.141,2,10.0.0.13,0,0,0.00,1,58.80,88905.60,444528.0,0.000,0.00,0
1788270721.141,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270723.139,1,10.0.0.12,2,1,0.80,12,100.20,457173.20,190488.8,0.083,2.00,0
1788270723.139,1,10.0.0.11,5,1,1.20,10,111.40,416952.40,208476.2,0.000,2.00,0
1788270723.139,1,10.0.0.13,0,0,0.00,1,61.00,92232.00,461160.0,0.000,2.00,0
1788270723.142,2,10.0.0.12,2,1,0.80,0,0.00,0.00,0.0,0.000,0.00,0
1788270723.142,2,10.0.0.11,5,1,1.20,0,0.00,0.00,0.0,0.000,0.00,0
1788270723.142,2,10.0.0.13,0,0,0.00,1,61.00,92232.00,461160.0,0.000,0.00,0
1788270723.142,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270725.142,1,10.0.0.12,3,1,0.80,13,123.40,540624.40,207932.5,0.000,2.00,0
1788270725.142,1,10.0.0.11,4,1,1.00,11,115.20,417203.20,189637.8,0.091,2.00,0
1788270725.142,1,10.0.0.13,0,0,0.00,1,63.40,95860.80,479304.0,0.000,2.00,0
1788270725.145,2,10.0.0.12,3,1,0.80,0,0.00,0.00,0.0,0.000,0.00,0
1788270725.145,2,10.0.0.11,4,1,1.00,0,0.00,0.00,0.0,0.000,0.00,0
1788270725.145,2,10.0.0.13,0,0,0.00,1,63.40,95860.80,479304.0,0.000,0.00,0
1788270725.145,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270727.147,1,10.0.0.12,4,1,1.20,11,91.00,435890.00,198131.8,0.000,3.00,0
1788270727.147,1,10.0.0.11,4,1,1.20,13,130.80,500152.80,192366.5,0.077,3.00,0
1788270727.147,1,10.0.0.13,0,0,0.00,1,65.40,98884.80,494424.0,0.000,3.00,0
1788270727.149,2,10.0.0.12,4,1,1.20,0,0.00,0.00,0.0,0.000,0.00,0
1788270727.149,2,10.0.0.11,4,1,1.20,0,0.00,0.00,0.0,0.000,0.00,0
1788270727.149,2,10.0.0.13,0,0,0.00,1,65.40,98884.80,494424.0,0.000,0.00,0
1788270727.149,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270729.151,1,10.0.0.12,4,1,1.20,10,87.20,400760.80,200380.4,0.000,2.00,0
1788270729.151,1,10.0.0.11,4,1,1.20,12,113.60,458057.60,190857.3,0.083,2.00,0
1788270729.151,1,10.0.0.13,0,0,0.00,1,65.80,99489.60,497448.0,0.000,2.00,0
1788270729.155,2,10.0.0.12,4,1,1.20,0,0.00,0.00,0.0,0.000,0.00,0
1788270729.155,2,10.0.0.11,4,1,1.20,0,0.00,0.00,0.0,0.000,0.00,0
1788270729.155,2,10.0.0.13,0,0,0.00,1,65.80,99489.60,497448.0,0.000,0.00,0
1788270729.155,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270731.153,1,10.0.0.12,3,1,1.00,11,100.60,457199.60,207818.0,0.000,2.00,0
1788270731.153,1,10.0.0.11,4,1,1.20,11,115.00,458150.00,208250.0,0.000,2.00,0
1788270731.153,1,10.0.0.13,0,0,0.00,1,65.80,99489.60,497448.0,0.000,2.00,0
1788270731.154,2,10.0.0.12,3,1,1.00,0,0.00,0.00,0.0,0.000,0.00,0
1788270731.154,2,10.0.0.11,4,1,1.20,0,0.00,0.00,0.0,0.000,0.00,0
1788270731.154,2,10.0.0.13,0,0,0.00,1,65.80,99489.60,497448.0,0.000,0.00,0
1788270731.154,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270733.155,1,10.0.0.12,4,1,1.00,11,102.40,457318.40,207872.0,0.000,2.50,0
1788270733.155,1,10.0.0.11,3,1,1.20,13,126.20,499849.20,192249.7,0.077,2.50,0
1788270733.155,1,10.0.0.13,0,0,0.00,1,65.80,99489.60,497448.0,0.000,2.50,0
1788270733.158,2,10.0.0.12,4,1,1.00,0,0.00,0.00,0.0,0.000,0.00,0
1788270733.158,2,10.0.0.11,3,1,1.20,0,0.00,0.00,0.0,0.000,0.00,0
1788270733.158,2,10.0.0.13,0,0,0.00,1,65.80,99489.60,497448.0,0.000,0.00,0
1788270733.158,2,10.0.0.200,0,0,0.00,1,0.00,0.00,0.0,1.000,0.00,0
1788270735.153,1,10.0.0.12,5,1,1.00,11,101.40,457252.40,207842.0,0.000,2.00,0
