timestamp,dpid,src_ip,distinct_dports,distinct_dst_ips,new_flows_per_s,active_flows,pkts_per_s,bytes_per_s,avg_bytes_per_flow,single_pkt_flow_ratio,packet_in_per_s
1788190227.883,2,10.0.0.11,4,1,2.40,0,0.00,0.00,0.0,0.000,0.00
1788190229.886,1,10.0.0.12,3,1,1.40,11,9.60,885.80,402.6,0.000,5.00
1788190229.886,1,10.0.0.13,0,0,0.00,1,300.00,64200.00,321000.0,0.000,5.00
1788190229.886,1,10.0.0.11,5,1,3.60,26,22.00,2179.80,419.2,0.000,5.00
1788190229.886,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190229.886,2,10.0.0.12,3,1,1.40,0,0.00,0.00,0.0,0.000,0.00
1788190229.886,2,10.0.0.13,0,0,0.00,1,300.00,64200.00,321000.0,0.000,0.00
1788190229.886,2,10.0.0.11,5,1,3.60,0,0.00,0.00,0.0,0.000,0.00
1788190231.886,1,10.0.0.12,5,1,2.20,14,11.80,1098.60,392.4,0.000,4.50
1788190231.886,1,10.0.0.13,0,0,0.00,1,319.80,68437.20,342186.0,0.000,4.50
1788190231.886,1,10.0.0.11,4,1,2.80,24,20.80,2052.20,427.5,0.000,4.50
1788190231.886,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190231.886,2,10.0.0.12,5,1,2.20,0,0.00,0.00,0.0,0.000,0.00
1788190231.886,2,10.0.0.13,0,0,0.00,1,319.80,68437.20,342186.0,0.000,0.00
1788190231.886,2,10.0.0.11,4,1,2.80,0,0.00,0.00,0.0,0.000,0.00
1788190233.888,1,10.0.0.12,5,1,2.00,17,14.80,1371.40,403.4,0.000,3.50
1788190233.888,1,10.0.0.13,0,0,0.00,1,338.00,72332.00,361660.0,0.000,3.50
1788190233.888,1,10.0.0.11,4,1,2.60,27,23.40,2343.20,433.9,0.000,3.50
1788190233.889,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.50
1788190233.889,2,10.0.0.12,5,1,2.00,0,0.00,0.00,0.0,0.000,0.50
1788190233.889,2,10.0.0.13,0,0,0.00,1,338.00,72332.00,361660.0,0.000,0.50
1788190233.889,2,10.0.0.11,4,1,2.80,0,0.00,0.00,0.0,0.000,0.50
1788190235.889,1,10.0.0.12,5,1,1.60,18,16.20,1481.80,411.6,0.000,2.50
1788190235.889,1,10.0.0.13,0,0,0.00,1,358.60,76740.40,383702.0,0.000,2.50
1788190235.889,1,10.0.0.11,5,1,1.60,27,22.60,2324.40,430.4,0.000,2.50
1788190235.890,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190235.890,2,10.0.0.12,5,1,1.60,0,0.00,0.00,0.0,0.000,0.00
1788190235.890,2,10.0.0.13,0,0,0.00,1,358.60,76740.40,383702.0,0.000,0.00
1788190235.890,2,10.0.0.11,5,1,1.60,0,0.00,0.00,0.0,0.000,0.00
1788190237.890,1,10.0.0.12,2,1,0.80,15,12.80,1150.20,383.4,0.000,3.00
1788190237.890,1,10.0.0.13,0,0,0.00,1,376.20,80506.80,402534.0,0.000,3.00
1788190237.890,1,10.0.0.11,5,1,2.40,26,22.60,2322.80,446.7,0.000,3.00
1788190237.891,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190237.891,2,10.0.0.12,2,1,0.80,0,0.00,0.00,0.0,0.000,0.00
1788190237.891,2,10.0.0.13,0,0,0.00,1,376.40,80549.60,402748.0,0.000,0.00
1788190237.891,2,10.0.0.11,5,1,2.40,0,0.00,0.00,0.0,0.000,0.00
1788190239.892,1,10.0.0.12,2,1,0.40,13,11.60,1045.80,402.2,0.000,5.00
1788190239.892,1,10.0.0.13,0,0,0.00,1,396.80,84915.20,424576.0,0.000,5.00
1788190239.892,1,10.0.0.11,5,1,2.40,22,18.60,1841.80,418.6,0.000,5.00
1788190239.894,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190239.894,2,10.0.0.12,2,1,0.40,0,0.00,0.00,0.0,0.000,0.00
1788190239.894,2,10.0.0.13,0,0,0.00,1,396.80,84915.20,424576.0,0.000,0.00
1788190239.894,2,10.0.0.11,5,1,2.40,0,0.00,0.00,0.0,0.000,0.00
1788190241.895,1,10.0.0.12,3,1,0.80,10,9.20,841.60,420.8,0.000,3.50
1788190241.895,1,10.0.0.13,0,0,0.00,1,415.40,88895.60,444478.0,0.000,3.50
1788190241.895,1,10.0.0.11,4,1,2.20,23,20.20,2057.60,447.3,0.000,3.50
1788190241.896,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190241.896,2,10.0.0.12,3,1,0.80,0,0.00,0.00,0.0,0.000,0.00
1788190241.896,2,10.0.0.13,0,0,0.00,1,415.40,88895.60,444478.0,0.000,0.00
1788190241.896,2,10.0.0.11,4,1,2.20,0,0.00,0.00,0.0,0.000,0.00
1788190243.895,1,10.0.0.12,4,1,1.60,11,10.20,991.00,450.5,0.000,6.00
1788190243.895,1,10.0.0.13,0,0,0.00,1,437.20,93560.80,467804.0,0.000,6.00
1788190243.895,1,10.0.0.11,5,1,3.40,26,23.80,2352.80,452.5,0.000,6.00
1788190243.896,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190243.896,2,10.0.0.12,4,1,1.60,0,0.00,0.00,0.0,0.000,0.00
1788190243.896,2,10.0.0.13,0,0,0.00,1,437.20,93560.80,467804.0,0.000,0.00
1788190243.896,2,10.0.0.11,5,1,3.40,0,0.00,0.00,0.0,0.000,0.00
1788190245.896,1,10.0.0.12,4,1,1.80,11,9.40,983.20,446.9,0.000,2.00
1788190245.896,1,10.0.0.13,0,0,0.00,1,457.60,97926.40,489632.0,0.000,2.00
1788190245.896,1,10.0.0.11,5,1,2.40,24,22.60,2194.60,457.2,0.000,2.00
1788190245.897,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190245.897,2,10.0.0.12,4,1,1.80,0,0.00,0.00,0.0,0.000,0.00
1788190245.897,2,10.0.0.13,0,0,0.00,1,457.60,97926.40,489632.0,0.000,0.00
1788190245.897,2,10.0.0.11,5,1,2.40,0,0.00,0.00,0.0,0.000,0.00
1788190247.897,1,10.0.0.12,5,1,1.80,14,13.00,1349.00,481.8,0.000,4.00
1788190247.897,1,10.0.0.13,0,0,0.00,1,476.00,101864.00,509320.0,0.000,4.00
1788190247.897,1,10.0.0.11,5,1,2.20,23,21.00,2054.80,446.7,0.000,4.00
1788190247.897,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190247.897,2,10.0.0.12,5,1,1.80,0,0.00,0.00,0.0,0.000,0.00
1788190247.897,2,10.0.0.13,0,0,0.00,1,476.20,101906.80,509534.0,0.000,0.00
1788190247.897,2,10.0.0.11,5,1,2.20,0,0.00,0.00,0.0,0.000,0.00
1788190249.898,1,10.0.0.12,5,1,2.20,18,16.00,1697.00,471.4,0.000,3.50
1788190249.898,1,10.0.0.13,0,0,0.00,1,493.60,105630.40,528152.0,0.000,3.50
1788190249.898,1,10.0.0.11,4,1,1.40,21,19.40,1912.40,455.3,0.000,3.50
1788190249.899,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190249.899,2,10.0.0.12,5,1,2.20,0,0.00,0.00,0.0,0.000,0.00
1788190249.899,2,10.0.0.13,0,0,0.00,1,493.60,105630.40,528152.0,0.000,0.00
1788190249.899,2,10.0.0.11,4,1,1.40,0,0.00,0.00,0.0,0.000,0.00
1788190251.898,1,10.0.0.12,5,1,1.80,19,18.40,1881.00,495.0,0.000,2.50
1788190251.898,1,10.0.0.13,0,0,0.00,1,515.40,110295.60,551478.0,0.000,2.50
1788190251.898,1,10.0.0.11,5,1,1.40,17,15.20,1545.40,454.5,0.000,2.50
1788190251.899,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190251.899,2,10.0.0.12,5,1,1.80,0,0.00,0.00,0.0,0.000,0.00
1788190251.899,2,10.0.0.13,0,0,0.00,1,515.60,110338.40,551692.0,0.000,0.00
1788190251.899,2,10.0.0.11,5,1,1.40,0,0.00,0.00,0.0,0.000,0.00
1788190253.899,1,10.0.0.12,4,1,1.40,18,17.60,1804.20,501.2,0.000,2.50
1788190253.899,1,10.0.0.13,0,0,0.00,1,533.20,114104.80,570524.0,0.000,2.50
1788190253.899,1,10.0.0.11,4,1,1.20,15,13.60,1357.00,452.3,0.000,2.50
1788190253.901,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190253.901,2,10.0.0.12,4,1,1.40,0,0.00,0.00,0.0,0.000,0.00
1788190253.901,2,10.0.0.13,0,0,0.00,1,533.20,114104.80,570524.0,0.000,0.00
1788190253.901,2,10.0.0.11,4,1,1.20,0,0.00,0.00,0.0,0.000,0.00
1788190255.923,1,10.0.0.12,2,1,1.40,19,17.80,1823.00,479.7,0.000,3.50
1788190255.923,1,10.0.0.13,0,0,0.00,1,553.20,118384.80,591924.0,0.000,3.50
1788190255.923,1,10.0.0.11,4,1,1.40,14,12.80,1268.20,452.9,0.000,3.50
1788190255.924,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190255.924,2,10.0.0.12,2,1,1.40,0,0.00,0.00,0.0,0.000,0.00
1788190255.924,2,10.0.0.13,0,0,0.00,1,553.20,118384.80,591924.0,0.000,0.00
1788190255.924,2,10.0.0.11,4,1,1.40,0,0.00,0.00,0.0,0.000,0.00
1788190257.903,1,10.0.0.12,5,1,2.40,21,20.20,2064.20,491.5,0.000,6.50
1788190257.903,1,10.0.0.13,0,0,0.00,1,574.60,122964.40,614822.0,0.000,6.50
1788190257.903,1,10.0.0.11,4,1,2.00,16,14.40,1503.00,469.7,0.000,6.50
1788190257.905,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190257.905,2,10.0.0.12,5,1,2.40,0,0.00,0.00,0.0,0.000,0.00
1788190257.905,2,10.0.0.13,0,0,0.00,1,574.60,122964.40,614822.0,0.000,0.00
1788190257.905,2,10.0.0.11,4,1,2.00,0,0.00,0.00,0.0,0.000,0.00
1788190259.904,1,10.0.0.12,5,1,2.80,22,20.80,2075.60,471.7,0.000,4.50
1788190259.904,1,10.0.0.13,0,0,0.00,1,594.20,127158.80,635794.0,0.000,4.50
1788190259.904,1,10.0.0.11,4,1,2.00,17,15.40,1620.00,476.5,0.000,4.50
1788190259.905,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190259.905,2,10.0.0.12,5,1,2.80,0,0.00,0.00,0.0,0.000,0.00
1788190259.905,2,10.0.0.13,0,0,0.00,1,594.20,127158.80,635794.0,0.000,0.00
1788190259.905,2,10.0.0.11,4,1,2.00,0,0.00,0.00,0.0,0.000,0.00
1788190261.909,1,10.0.0.12,4,1,2.20,22,19.80,2037.60,463.1,0.000,2.00
1788190261.909,1,10.0.0.13,0,0,0.00,1,613.00,131182.00,655910.0,0.000,2.00
1788190261.909,1,10.0.0.11,3,1,1.60,17,15.40,1553.00,456.8,0.000,2.00
1788190261.916,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788190261.916,2,10.0.0.12,4,1,2.20,0,0.00,0.00,0.0,0.000,0.00
